Percorso;Processo;Pid
C:\Windows\System32\smss.exe; smss.exe; 624
C:\Windows\System32\csrss.exe; csrss.exe; 648
C:\Windows\System32\wininit.exe; wininit.exe; 656
C:\Windows\System32\svchost.exe; svchost.exe; 680
C:\Windows\System32\csrss.exe; csrss.exe; 844
C:\Windows\System32\services.exe; services.exe; 924
C:\Windows\System32\winlogon.exe; winlogon.exe; 960
C:\Windows\System32\lsass.exe; lsass.exe; 988
C:\Windows\System32\svchost.exe; svchost.exe; 1140
C:\Windows\System32\fontdrvhost.exe; fontdrvhost.exe; 1172
C:\Windows\System32\fontdrvhost.exe; fontdrvhost.exe; 1176
C:\Windows\System32\svchost.exe; svchost.exe; 1264
C:\Windows\System32\svchost.exe; svchost.exe; 1312
C:\Windows\System32\svchost.exe; svchost.exe; 1416
C:\Windows\System32\dwm.exe; dwm.exe; 1424
C:\Windows\System32\svchost.exe; svchost.exe; 1500
C:\Windows\System32\svchost.exe; svchost.exe; 1564
C:\Windows\System32\svchost.exe; svchost.exe; 1572
C:\Windows\System32\svchost.exe; svchost.exe; 1580
C:\Windows\System32\svchost.exe; svchost.exe; 1644
C:\Windows\System32\svchost.exe; svchost.exe; 1668
C:\Windows\System32\svchost.exe; svchost.exe; 1724
C:\Windows\System32\svchost.exe; svchost.exe; 1744
C:\Windows\System32\svchost.exe; svchost.exe; 1752
C:\Windows\System32\svchost.exe; svchost.exe; 1784
C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_f37f66cf59feb38a\IntelCpHDCPSvc.exe; IntelCpHDCPSvc.exe; 1864
C:\Windows\System32\svchost.exe; svchost.exe; 1884
C:\Windows\ImmersiveControlPanel\SystemSettings.exe; SystemSettings.exe; 1928
C:\Windows\System32\svchost.exe; svchost.exe; 1948
C:\Windows\System32\svchost.exe; svchost.exe; 1976
C:\Windows\System32\svchost.exe; svchost.exe; 2012
C:\Windows\System32\svchost.exe; svchost.exe; 2076
C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_f37f66cf59feb38a\IntelCpHeciSvc.exe; IntelCpHeciSvc.exe; 2124
C:\Windows\System32\svchost.exe; svchost.exe; 2148
C:\Windows\System32\svchost.exe; svchost.exe; 2212
C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_12ed482042e0dee5\igfxCUIService.exe; igfxCUIService.exe; 2216
C:\Windows\System32\svchost.exe; svchost.exe; 2252
C:\Windows\System32\svchost.exe; svchost.exe; 2300
C:\Windows\System32\SearchProtocolHost.exe; SearchProtocolHost.exe; 2368
C:\Windows\System32\svchost.exe; svchost.exe; 2408
C:\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_02ea01a452126faa\x64\AppHelperCap.exe; AppHelperCap.exe; 2440
C:\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_02ea01a452126faa\x64\DiagsCap.exe; DiagsCap.exe; 2448
C:\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_02ea01a452126faa\x64\NetworkCap.exe; NetworkCap.exe; 2460
C:\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_02ea01a452126faa\x64\SysInfoCap.exe; SysInfoCap.exe; 2484
C:\Windows\System32\svchost.exe; svchost.exe; 2636
C:\Windows\System32\svchost.exe; svchost.exe; 2676
C:\Windows\System32\svchost.exe; svchost.exe; 2684
C:\Windows\System32\svchost.exe; svchost.exe; 2692
C:\Windows\System32\svchost.exe; svchost.exe; 2700
C:\Windows\System32\DriverStore\FileRepository\hpanalyticscomp.inf_amd64_16362a5f981410f1\x64\TouchpointAnalyticsClientService.exe; TouchpointAnalyticsClientService.exe; 2784
C:\Windows\System32\svchost.exe; svchost.exe; 2884
C:\Windows\System32\svchost.exe; svchost.exe; 2948
C:\Windows\System32\svchost.exe; svchost.exe; 2992
C:\Windows\System32\svchost.exe; svchost.exe; 3040
C:\Windows\System32\svchost.exe; svchost.exe; 3076
C:\Windows\System32\svchost.exe; svchost.exe; 3248
C:\Windows\System32\svchost.exe; svchost.exe; 3324
C:\Windows\System32\svchost.exe; svchost.exe; 3372
C:\Windows\System32\svchost.exe; svchost.exe; 3460
C:\Windows\System32\wbem\WmiPrvSE.exe; WmiPrvSE.exe; 3760
C:\Windows\System32\wbem\unsecapp.exe; unsecapp.exe; 3848
C:\Windows\System32\wbem\WmiPrvSE.exe; WmiPrvSE.exe; 3980
C:\Windows\System32\svchost.exe; svchost.exe; 4064
