about	Enabled	Pluggable Protocol Handler	Microsoft HTML About Pluggable Protocol	C:\Windows\System32\mshtml.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
appinstaller.oauth2	Enabled	Executable	URL:appinstaller.oauth2				19/02/2023 19:57:58	
armodelviewing	Enabled	Executable	URL:armodelviewing				19/02/2023 19:19:10	
bingmaps	Enabled	Executable					19/02/2023 19:19:10	
bingnews	Enabled	Executable	URL:bingnews				19/02/2023 19:57:59	
bingweather	Enabled	Executable	URL:bingweather				19/02/2023 19:19:10	
bitwarden	Enabled	Executable	URL:bitwarden	"C:\Users\mikes\AppData\Local\Programs\Bitwarden\Bitwarden.exe" "%1"	Bitwarden	Bitwarden Inc.	29/03/2023 14:27:29	
calculator	Enabled	Executable	URL:calculator				19/02/2023 19:19:10	
cdl	Enabled	Pluggable Protocol Handler	CDL: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
com.clipchamp.app	Enabled	Executable	URL:com.clipchamp.app				19/02/2023 19:57:59	
com.microsoft.3dviewer	Enabled	Executable	URL:com.microsoft.3dviewer				19/02/2023 19:19:10	
Discord	Enabled	Executable	URL:Discord Protocol	"C:\Users\mikes\AppData\Local\Discord\app-1.0.9011\Discord.exe" --url -- "%1"	Discord	Discord Inc.	21/02/2023 13:14:03	
DLNA-PLAYSINGLE	Enabled	Executable	URL:Play Single DLNA Item Protocol	"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe" "%L"	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 10:31:52	
dvd	Enabled	Pluggable Protocol Handler	DVD: Pluggable Protocol	C:\Windows\System32\msvidctl.dll	DirectShow	Microsoft Corporation	07/05/2022 05:28:03	
Explorer.AssocActionId.BurnSelection	Enabled	Executable		%SystemRoot%\explorer.exe	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:00	
Explorer.AssocActionId.EraseDisc	Enabled	Executable		%SystemRoot%\explorer.exe	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:00	
Explorer.AssocActionId.ZipSelection	Enabled	Executable		%SystemRoot%\explorer.exe	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:00	
Explorer.AssocProtocol.search-ms	Enabled	Executable	Windows Search Protocol	%SystemRoot%\Explorer.exe /separate,/idlist,%I,%L	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:00	
Explorer.BurnSelection	Enabled	Executable	File Explorer ‘Burn to disc’ button				07/05/2022 05:28:00	
Explorer.EraseDisc	Enabled	Executable	File Explorer ‘Erase this disc’ button				07/05/2022 05:28:00	
Explorer.ZipSelection	Enabled	Executable	File Explorer ‘Zip’ button				07/05/2022 05:28:00	
feedback-hub	Enabled	Executable	URL:feedback-hub				19/02/2023 19:19:10	
file	Enabled	Pluggable Protocol Handler	file:, local: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
file	Enabled	Executable	URL:File Protocol				07/05/2022 05:28:00	
FirefoxURL-308046B0AF4A39CB	Enabled	Executable	Firefox URL	"C:\Program Files\Mozilla Firefox\firefox.exe" -osint -url "%1"	Firefox	Mozilla Corporation	10/03/2023 12:13:35	
ftp	Enabled	Pluggable Protocol Handler	ftp: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
ftp	Enabled	Executable	URL:File Transfer Protocol	"C:\Program Files\Internet Explorer\iexplore.exe" %1	Internet Explorer	Microsoft Corporation	19/02/2023 19:17:40	
grvopen	Enabled	Executable	URL: OneDrive Client Protocol	"C:\Users\mikes\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /url:"%1"			19/02/2023 19:19:10	
http	Enabled	Executable	URL:http	"C:\Program Files\Internet Explorer\iexplore.exe" %1	Internet Explorer	Microsoft Corporation	19/02/2023 19:19:10	
http	Enabled	Pluggable Protocol Handler	http: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
https	Enabled	Executable	URL:https	"C:\Program Files\Internet Explorer\iexplore.exe" %1	Internet Explorer	Microsoft Corporation	19/02/2023 19:19:10	
https	Enabled	Pluggable Protocol Handler	https: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
IE.HTTP	Enabled	Executable	URL:HyperText Transfer Protocol	"C:\Program Files\Internet Explorer\iexplore.exe" %1	Internet Explorer	Microsoft Corporation	19/02/2023 19:17:40	
iehistory	Enabled	Executable	IE History and Feeds Shell Data Source for Windows Search				07/05/2022 10:30:55	
ierss	Enabled	Executable	IE History and Feeds Shell Data Source for Windows Search				07/05/2022 10:30:55	
insiderhub	Enabled	Executable	URL:insiderhub				19/02/2023 19:19:10	
its	Enabled	Pluggable Protocol Handler	its: Asychronous Pluggable Protocol Handler	C:\Windows\System32\itss.dll	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:03	
javascript	Enabled	Pluggable Protocol Handler	Microsoft HTML Javascript Pluggable Protocol	C:\Windows\System32\mshtml.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
LDAP	Enabled	Executable	URL:LDAP Protocol	"%ProgramFiles%\Windows Mail\wab.exe" "/ldap:%1"	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
local	Enabled	Pluggable Protocol Handler	file:, local: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
mailto	Enabled	Pluggable Protocol Handler	Microsoft HTML Mailto Pluggable Protocol	C:\Windows\System32\mshtml.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
mailto	Enabled	Executable	Thunderbird URL	"C:\Program Files\Mozilla Thunderbird\thunderbird.exe" -osint -compose "%1"	Thunderbird	Mozilla Corporation	12/03/2023 13:02:20	
mapi	Enabled	Executable					07/05/2022 05:28:02	
mhtml	Enabled	Pluggable Protocol Handler	MHTML Asynchronous Pluggable Protocol Handler	C:\Windows\System32\inetcomm.dll	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:03	
microsoft-edge	Enabled	Executable					19/02/2023 19:19:11	
microsoft-edge-holographic	Enabled	Executable					19/02/2023 19:19:11	
microsoft.windows.camera	Enabled	Executable	URL:microsoft.windows.camera				19/02/2023 19:19:11	
microsoft.windows.camera.multipicker	Enabled	Executable	URL:microsoft.windows.camera.multipicker				19/02/2023 19:56:47	
microsoft.windows.camera.picker	Enabled	Executable	URL:microsoft.windows.camera.picker				19/02/2023 19:19:11	
microsoft.windows.photos.crop	Enabled	Executable	URL:microsoft.windows.photos.crop				19/02/2023 19:19:11	
microsoft.windows.photos.picker	Enabled	Executable	URL:microsoft.windows.photos.picker				19/02/2023 19:19:11	
microsoft.windows.photos.videoedit	Enabled	Executable	URL:microsoft.windows.photos.videoedit				19/02/2023 19:19:11	
Microsoft.Workfolders	Enabled	Executable	Microsoft Workfolders	C:\Windows\System32\control.exe /name Microsoft.WorkFolders	Microsoft® Windows® Operating System	Microsoft Corporation	19/02/2023 19:17:41	
microsoftmusic	Enabled	Executable	URL:microsoftmusic				19/02/2023 19:19:11	
microsoftsolitairecollection	Enabled	Executable	URL:microsoftsolitairecollection				22/02/2023 14:25:36	
microsoftvideo	Enabled	Executable	URL:microsoftvideo				19/02/2023 19:19:11	
mid	Enabled	Executable	Thunderbird URL	"C:\Program Files\Mozilla Thunderbird\thunderbird.exe" "%1"	Thunderbird	Mozilla Corporation	12/03/2023 13:02:20	
mk	Enabled	Pluggable Protocol Handler	mk: Asychronous Pluggable Protocol Handler	C:\Windows\System32\urlmon.dll	Internet Explorer	Microsoft Corporation	07/05/2022 05:28:03	
mk	Enabled	Executable	URL:MK Protocol				07/05/2022 05:28:02	
MMS	Enabled	Executable	URL:mms Protocol	"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe" "%L"	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 10:31:51	
ms-aad-brokerplugin	Enabled	Executable	URL:ms-aad-brokerplugin				19/02/2023 19:19:11	
ms-actioncenter	Enabled	Executable	URL:ms-actioncenter				19/02/2023 19:19:11	
ms-appinstaller	Enabled	Executable	URL:ms-appinstaller				19/02/2023 19:19:11	
ms-apprep	Enabled	Executable	URL:ms-apprep				19/02/2023 19:19:11	
ms-availablenetworks	Enabled	Executable	URL:Available Networks Protocol	"%SystemRoot%\system32\LaunchWinApp.exe" "%1"	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-calculator	Enabled	Executable	URL:ms-calculator				19/02/2023 19:19:11	
ms-clock	Enabled	Executable	URL:ms-clock				19/02/2023 19:19:11	
ms-contact-support	Enabled	Executable	URL:ms-contact-support				19/02/2023 19:19:11	
ms-cortana2	Enabled	Executable	URL:ms-cortana2				19/02/2023 19:19:11	
ms-cxh	Enabled	Executable	URL:ms-cxh				19/02/2023 19:19:11	
ms-cxh-full	Enabled	Executable	CloudExperienceHost Launch Protocol				07/05/2022 05:28:02	
ms-default-location	Enabled	Executable	URL:ms-default-location				19/02/2023 19:19:11	
ms-device-enrollment	Enabled	Executable	URL:ms-device-enrollment				19/02/2023 19:19:11	
ms-device-enrollment2	Enabled	Executable	URL:ms-device-enrollment2				19/02/2023 19:39:32	
ms-drive-to	Enabled	Executable	URL:ms-drive-to				19/02/2023 19:19:11	
ms-eyecontrolspeech	Enabled	Executable	URL:ms-eyecontrolspeech				19/02/2023 19:19:11	
ms-family	Enabled	Executable	URL:ms-family				19/02/2023 19:56:33	
ms-gamebar	Enabled	Executable	URL:ms-gamebar				22/02/2023 14:23:16	
ms-gamebarservices	Enabled	Executable	URL:ms-gamebarservices				19/02/2023 19:19:11	
ms-gamingoverlay	Enabled	Executable	URL:ms-gamingoverlay				19/02/2023 19:19:11	
ms-get-started	Enabled	Executable	URL:ms-get-started				19/02/2023 19:19:11	
ms-getoffice	Enabled	Executable	URL:ms-getoffice				19/02/2023 19:19:11	
ms-holographicfirstrun	Enabled	Executable	URL:ms-holographicfirstrun				19/02/2023 19:19:11	
ms-inputapp	Enabled	Executable	URL:ms-inputapp				19/02/2023 19:19:11	
ms-insights	Enabled	Executable	URL:ms-insights				19/02/2023 19:19:11	
ms-ipmessaging	Enabled	Executable	URL:ms-ipmessaging				19/02/2023 19:19:11	
ms-its	Enabled	Pluggable Protocol Handler	ms-its: Asychronous Pluggable Protocol Handler	C:\Windows\System32\itss.dll	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:03	
ms-lwh	Enabled	Executable	URL:ms-lwh				19/02/2023 19:39:32	
ms-meetnow	Enabled	Executable	URL:ms-meetnow				19/02/2023 19:56:38	
ms-meetnowflyout	Enabled	Executable	URL:ms-meetnowflyout				19/02/2023 19:19:11	
ms-mmsys	Enabled	Executable		%SystemRoot%\System32\rundll32.exe %SystemRoot%\System32\shell32.dll,Control_RunDLL %SystemRoot%\System32\mmsys.cpl %1	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:02	
ms-msdt	Enabled	Executable	URL:ms-msdt	"%SystemRoot%\system32\msdt.exe" %1	Sistema operativo Microsoft® Windows®	Microsoft Corporation	07/05/2022 05:28:02	
ms-msime-imepad	Enabled	Executable		C:\Windows\System32\IME\SHARED\IMEPADSV.EXE %1	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-msime-imjpdct	Enabled	Executable		C:\Windows\System32\IME\IMEJP\IMJPDCT.EXE %1	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-newsandinterests	Enabled	Executable	URL:ms-newsandinterests				19/02/2023 19:19:11	
ms-officeapp	Enabled	Executable	URL:ms-officeapp				19/02/2023 19:19:11	
ms-officecmd	Enabled	Executable	URL:ms-officecmd				19/02/2023 19:19:11	
ms-oobenetwork	Enabled	Executable	URL:ms-oobenetwork				19/02/2023 19:19:11	
ms-outlook	Enabled	Executable	URL:ms-outlook				08/03/2023 18:22:31	
ms-paint	Enabled	Executable	URL:ms-paint				19/02/2023 19:19:11	
ms-penworkspace	Enabled	Executable	URL:ms-penworkspace				19/02/2023 19:19:11	
ms-people	Enabled	Executable	URL:ms-people				19/02/2023 19:19:11	
